provider        model                                             context  max-out  thinking  images
amazon-bedrock  anthropic.claude-3-5-haiku-20241022-v1:0          200K     8.2K     no        yes   
amazon-bedrock  anthropic.claude-3-5-sonnet-20240620-v1:0         200K     8.2K     no        yes   
amazon-bedrock  anthropic.claude-3-5-sonnet-20241022-v2:0         200K     8.2K     no        yes   
amazon-bedrock  anthropic.claude-3-haiku-20240307-v1:0            200K     4.1K     no        yes   
amazon-bedrock  anthropic.claude-3-opus-20240229-v1:0             200K     4.1K     no        yes   
amazon-bedrock  anthropic.claude-3-sonnet-20240229-v1:0           200K     4.1K     no        yes   
amazon-bedrock  cohere.command-r-plus-v1:0                        128K     4.1K     no        no    
amazon-bedrock  cohere.command-r-v1:0                             128K     4.1K     no        no    
amazon-bedrock  deepseek.v3-v1:0                                  163.8K   81.9K    yes       no    
amazon-bedrock  eu.anthropic.claude-haiku-4-5-20251001-v1:0       200K     64K      yes       yes   
amazon-bedrock  eu.anthropic.claude-opus-4-5-20251101-v1:0        200K     64K      yes       yes   
amazon-bedrock  eu.anthropic.claude-sonnet-4-5-20250929-v1:0      200K     64K      yes       yes   
amazon-bedrock  global.amazon.nova-2-lite-v1:0                    128K     4.1K     no        yes   
amazon-bedrock  global.anthropic.claude-haiku-4-5-20251001-v1:0   200K     64K      yes       yes   
amazon-bedrock  global.anthropic.claude-opus-4-5-20251101-v1:0    200K     64K      yes       yes   
amazon-bedrock  global.anthropic.claude-sonnet-4-20250514-v1:0    200K     64K      yes       yes   
amazon-bedrock  global.anthropic.claude-sonnet-4-5-20250929-v1:0  200K     64K      yes       yes   
amazon-bedrock  google.gemma-3-27b-it                             202.8K   8.2K     no        yes   
amazon-bedrock  google.gemma-3-4b-it                              128K     4.1K     no        yes   
amazon-bedrock  meta.llama3-1-70b-instruct-v1:0                   128K     4.1K     no        no    
amazon-bedrock  meta.llama3-1-8b-instruct-v1:0                    128K     4.1K     no        no    
amazon-bedrock  minimax.minimax-m2                                204.6K   128K     yes       no    
amazon-bedrock  mistral.ministral-3-14b-instruct                  128K     4.1K     no        no    
amazon-bedrock  mistral.ministral-3-8b-instruct                   128K     4.1K     no        no    
amazon-bedrock  mistral.mistral-large-2402-v1:0                   128K     4.1K     no        no    
amazon-bedrock  mistral.voxtral-mini-3b-2507                      128K     4.1K     no        no    
amazon-bedrock  mistral.voxtral-small-24b-2507                    32K      8.2K     no        no    
